M‚tier;Grand secteur;Nombre de projets;Nombre de projets difficiles;Nombre de projets saisonniers
Cadres du bƒtiment et des travaux publics;Services aux particuliers;370;170;30
Caissiers, employ‚s de libre service;Agriculture;40;40;20
Caissiers, employ‚s de libre service;Industrie;180;100;10
Caissiers, employ‚s de libre service;Construction;10;10;10
Caissiers, employ‚s de libre service;Commerce;99350;27000;40090
Caissiers, employ‚s de libre service;Services aux entreprises;3840;1440;1220
Caissiers, employ‚s de libre service;Services aux particuliers;1800;570;840
Coiffeurs, esth‚ticiens;Industrie;50;10;30
Coiffeurs, esth‚ticiens;Commerce;1160;700;230
Coiffeurs, esth‚ticiens;Services aux entreprises;420;170;60
Coiffeurs, esth‚ticiens;Services aux particuliers;17330;12100;3520
Conducteurs d'engins du bƒtiment et des travaux publics;Agriculture;30;10;0
Conducteurs d'engins du bƒtiment et des travaux publics;Industrie;580;330;110
Conducteurs d'engins du bƒtiment et des travaux publics;Construction;5620;3930;560
Conducteurs d'engins du bƒtiment et des travaux publics;Commerce;60;40;10
Conducteurs d'engins du bƒtiment et des travaux publics;Services aux entreprises;750;490;250
Conducteurs d'engins du bƒtiment et des travaux publics;Services aux particuliers;70;60;40
Conducteurs de v‚hicules;Agriculture;660;420;380
Conducteurs de v‚hicules;Industrie;4680;2860;1040
Conducteurs de v‚hicules;Construction;1790;1150;180
Conducteurs de v‚hicules;Commerce;7140;4440;2220
Conducteurs de v‚hicules;Services aux entreprises;83080;58600;15450
Conducteurs de v‚hicules;Services aux particuliers;9620;5780;2020
Cuisiniers;Agriculture;250;120;190
Cuisiniers;Industrie;1120;570;380
Cuisiniers;Construction;10;10;10
Cuisiniers;Commerce;1840;880;870
Cuisiniers;Services aux entreprises;5930;3070;2810
Cuisiniers;Services aux particuliers;142690;78080;62460
Dirigeants d'entreprises;Industrie;20;20;0
Dirigeants d'entreprises;Construction;20;10;0
Dirigeants d'entreprises;Commerce;80;50;10
Dirigeants d'entreprises;Services aux entreprises;300;160;20
Dirigeants d'entreprises;Services aux particuliers;180;70;10
Employ‚s administratifs d'entreprise;Agriculture;80;10;40
Employ‚s administratifs d'entreprise;Industrie;1610;290;230
Employ‚s administratifs d'entreprise;Construction;780;260;40
Employ‚s administratifs d'entreprise;Commerce;2210;740;260
Employ‚s administratifs d'entreprise;Services aux entreprises;31160;12000;8180
Employ‚s administratifs d'entreprise;Services aux particuliers;28240;6370;10110
Employ‚s de la banque et des assurances;Industrie;40;10;0
Employ‚s de la banque et des assurances;Construction;40;10;10
Employ‚s de la banque et des assurances;Commerce;140;30;10
Employ‚s de la banque et des assurances;Services aux entreprises;16650;4440;540
Employ‚s de la banque et des assurances;Services aux particuliers;1150;350;60
Employ‚s de la comptabilit‚;Agriculture;140;70;10
Employ‚s de la comptabilit‚;Industrie;590;180;40
Employ‚s de la comptabilit‚;Construction;870;350;30
Employ‚s de la comptabilit‚;Commerce;2050;690;180
Employ‚s de la comptabilit‚;Services aux entreprises;12750;5740;530
Employ‚s de la comptabilit‚;Services aux particuliers;2340;800;410
Employ‚s de maison;Agriculture;100;40;60
Employ‚s de maison;Industrie;0;0;0
Employ‚s de maison;Construction;80;20;0
Employ‚s de maison;Commerce;110;50;10
Employ‚s de maison;Services aux entreprises;11930;7400;3500
Employ‚s de maison;Services aux particuliers;18320;12190;4270
Employ‚s des services divers;Agriculture;30;20;10
Employ‚s des services divers;Industrie;140;120;60
Employ‚s des services divers;Construction;50;50;20
Employ‚s des services divers;Commerce;220;20;20
Employ‚s des services divers;Services aux entreprises;1520;490;620
Employ‚s des services divers;Services aux particuliers;8850;3530;5280
Employ‚s et agents de maŒtrise de l'h“tellerie et de la restauration;Agriculture;410;230;360
Employ‚s et agents de maŒtrise de l'h“tellerie et de la restauration;Industrie;410;200;200
Employ‚s et agents de maŒtrise de l'h“tellerie et de la restauration;Construction;30;10;20
Employ‚s et agents de maŒtrise de l'h“tellerie et de la restauration;Commerce;1080;420;670
Employ‚s et agents de maŒtrise de l'h“tellerie et de la restauration;Services aux entreprises;9330;4970;5310
Employ‚s et agents de maŒtrise de l'h“tellerie et de la restauration;Services aux particuliers;137900;74600;90920
Employ‚s et op‚rateurs de l'informatique;Agriculture;0;0;0
Employ‚s et op‚rateurs de l'informatique;Industrie;240;130;0
Employ‚s et op‚rateurs de l'informatique;Construction;80;60;0
Employ‚s et op‚rateurs de l'informatique;Commerce;630;280;50
Employ‚s et op‚rateurs de l'informatique;Services aux entreprises;7520;4630;230
Employ‚s et op‚rateurs de l'informatique;Services aux particuliers;910;350;100
Enseignants;Agriculture;20;0;0
Enseignants;Industrie;10;10;0
Enseignants;Commerce;10;0;0
Enseignants;Services aux entreprises;180;90;80
Enseignants;Services aux particuliers;9170;3700;1570
Formateurs;Agriculture;10;0;0
Formateurs;Industrie;10;10;0
Formateurs;Construction;20;10;0
Formateurs;Commerce;40;10;0
Formateurs;Services aux entreprises;1180;690;320
Formateurs;Services aux particuliers;14600;7420;2950
Infirmiers, sages-femmes;Industrie;80;10;0
Infirmiers, sages-femmes;Construction;10;10;0
Infirmiers, sages-femmes;Commerce;140;80;20
Infirmiers, sages-femmes;Services aux entreprises;330;110;30
Infirmiers, sages-femmes;Services aux particuliers;31450;16020;3360
Ing‚nieurs de l'informatique;Agriculture;10;10;0
Ing‚nieurs de l'informatique;Industrie;1010;560;10
Ing‚nieurs de l'informatique;Construction;210;110;0
Ing‚nieurs de l'informatique;Commerce;1000;690;0
Ing‚nieurs de l'informatique;Services aux entreprises;49910;36140;640
Ing‚nieurs de l'informatique;Services aux particuliers;710;380;10
Ing‚nieurs et cadres techniques de l'industrie;Agriculture;30;10;0
Ing‚nieurs et cadres techniques de l'industrie;Industrie;5720;3000;70
Ing‚nieurs et cadres techniques de l'industrie;Construction;220;90;0
Ing‚nieurs et cadres techniques de l'industrie;Commerce;870;380;60
Ing‚nieurs et cadres techniques de l'industrie;Services aux entreprises;7920;5020;130
Ing‚nieurs et cadres techniques de l'industrie;Services aux particuliers;730;360;40
MaŒtrise des magasins et interm‚diaires du commerce;Agriculture;30;30;10
MaŒtrise des magasins et interm‚diaires du commerce;Industrie;390;210;10
MaŒtrise des magasins et interm‚diaires du commerce;Construction;60;30;0
MaŒtrise des magasins et interm‚diaires du commerce;Commerce;2750;1480;220
MaŒtrise des magasins et interm‚diaires du commerce;Services aux entreprises;2160;860;540
MaŒtrise des magasins et interm‚diaires du commerce;Services aux particuliers;120;70;40
MaraŒchers, jardiniers, viticulteurs;Agriculture;157010;63190;150740
MaraŒchers, jardiniers, viticulteurs;Industrie;2730;740;2510
MaraŒchers, jardiniers, viticulteurs;Construction;240;100;80
MaraŒchers, jardiniers, viticulteurs;Commerce;2290;740;2100
MaraŒchers, jardiniers, viticulteurs;Services aux entreprises;13430;7990;5660
MaraŒchers, jardiniers, viticulteurs;Services aux particuliers;20010;5130;7740
Marins, pˆcheurs, aquaculteurs;Agriculture;2870;1940;2400
Marins, pˆcheurs, aquaculteurs;Industrie;420;100;410
Marins, pˆcheurs, aquaculteurs;Construction;10;0;10
Marins, pˆcheurs, aquaculteurs;Commerce;200;120;170
