M‚tier;Grand secteur;Nombre de projets;Nombre de projets difficiles;Nombre de projets saisonniers
Techniciens de la banque et des assurances;Industrie;130;30;10
Techniciens de la banque et des assurances;Construction;40;40;0
Techniciens de la banque et des assurances;Commerce;170;60;40
Techniciens de la banque et des assurances;Services aux entreprises;10700;4690;1010
Techniciens de la banque et des assurances;Services aux particuliers;310;80;30
Techniciens des services administratifs, comptables et financiers;Agriculture;30;20;0
Techniciens des services administratifs, comptables et financiers;Industrie;400;170;10
Techniciens des services administratifs, comptables et financiers;Construction;250;150;10
Techniciens des services administratifs, comptables et financiers;Commerce;380;120;30
Techniciens des services administratifs, comptables et financiers;Services aux entreprises;6380;3730;200
Techniciens des services administratifs, comptables et financiers;Services aux particuliers;1530;600;170
Techniciens et agents de maŒtrise de l'‚lectricit‚ et de l'‚lectronique;Industrie;2670;1750;50
Techniciens et agents de maŒtrise de l'‚lectricit‚ et de l'‚lectronique;Construction;1040;660;40
Techniciens et agents de maŒtrise de l'‚lectricit‚ et de l'‚lectronique;Commerce;460;320;30
Techniciens et agents de maŒtrise de l'‚lectricit‚ et de l'‚lectronique;Services aux entreprises;2030;1230;120
Techniciens et agents de maŒtrise de l'‚lectricit‚ et de l'‚lectronique;Services aux particuliers;160;60;80
Techniciens et agents de maŒtrise de la maintenance;Agriculture;30;10;10
Techniciens et agents de maŒtrise de la maintenance;Industrie;8200;5880;420
Techniciens et agents de maŒtrise de la maintenance;Construction;4430;3370;310
Techniciens et agents de maŒtrise de la maintenance;Commerce;2740;1880;140
Techniciens et agents de maŒtrise de la maintenance;Services aux entreprises;5950;3860;370
Techniciens et agents de maŒtrise de la maintenance;Services aux particuliers;2170;910;490
Techniciens et agents de maŒtrise des industries de process;Agriculture;20;10;10
Techniciens et agents de maŒtrise des industries de process;Industrie;3710;2050;280
Techniciens et agents de maŒtrise des industries de process;Construction;110;90;0
Techniciens et agents de maŒtrise des industries de process;Commerce;540;240;30
Techniciens et agents de maŒtrise des industries de process;Services aux entreprises;2470;1740;60
Techniciens et agents de maŒtrise des industries de process;Services aux particuliers;90;40;10
Techniciens et agents de maŒtrise des industries m‚caniques;Agriculture;0;0;0
Techniciens et agents de maŒtrise des industries m‚caniques;Industrie;3060;2110;80
Techniciens et agents de maŒtrise des industries m‚caniques;Construction;240;180;10
Techniciens et agents de maŒtrise des industries m‚caniques;Commerce;860;700;20
Techniciens et agents de maŒtrise des industries m‚caniques;Services aux entreprises;2410;1880;80
Techniciens et agents de maŒtrise des industries m‚caniques;Services aux particuliers;30;20;0
Techniciens et agents de maŒtrise des mat‚riaux souples, du bois et des industries graphiques;Industrie;320;230;0
Techniciens et agents de maŒtrise des mat‚riaux souples, du bois et des industries graphiques;Construction;90;50;0
Techniciens et agents de maŒtrise des mat‚riaux souples, du bois et des industries graphiques;Commerce;40;10;0
Techniciens et agents de maŒtrise des mat‚riaux souples, du bois et des industries graphiques;Services aux entreprises;50;30;0
Techniciens et agents de maŒtrise des mat‚riaux souples, du bois et des industries graphiques;Services aux particuliers;30;20;10
Techniciens et agents de maŒtrise du bƒtiment et des travaux publics;Agriculture;10;10;0
Techniciens et agents de maŒtrise du bƒtiment et des travaux publics;Industrie;1150;790;10
Techniciens et agents de maŒtrise du bƒtiment et des travaux publics;Construction;10660;7780;210
Techniciens et agents de maŒtrise du bƒtiment et des travaux publics;Commerce;310;180;0
Techniciens et agents de maŒtrise du bƒtiment et des travaux publics;Services aux entreprises;10850;7950;390
Techniciens et agents de maŒtrise du bƒtiment et des travaux publics;Services aux particuliers;950;550;80
Techniciens et cadres de l'agriculture;Agriculture;900;590;230
Techniciens et cadres de l'agriculture;Industrie;160;120;10
Techniciens et cadres de l'agriculture;Construction;50;40;0
Techniciens et cadres de l'agriculture;Commerce;170;120;30
Techniciens et cadres de l'agriculture;Services aux entreprises;1370;740;260
Techniciens et cadres de l'agriculture;Services aux particuliers;1670;820;410
Vendeurs;Agriculture;1160;540;680
Vendeurs;Industrie;9780;4830;3610
Vendeurs;Construction;460;270;30
Vendeurs;Commerce;68700;27190;32380
Vendeurs;Services aux entreprises;16440;10560;3550
Vendeurs;Services aux particuliers;4240;1610;1850
